CarId;Ratio;MatchedId;MatchedBrand;MatchedModel;MatchedGeneration;MatchedVersion
77254;0.8021978022;4172;Skoda;Octavia;IV(2020-teraz);Scout(2020-teraz)
112856;0.6947890819;3979;Renault;Trafic;I(1981-2001);
112856;0.5668016194;3972;Renault;Trafic;III(2014-teraz);Combi(2023-teraz)
109405;0.6923076923;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
109405;0.6703296703;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
108685;0.8131868132;4436;Toyota;Camry;IX(2018-teraz);
108685;0.6593406593;4439;Toyota;Camry;VI(2006-2014);
96258;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
96258;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
115848;0.6366047745;834;Dacia;Duster;III(2024-teraz);
115848;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
115845;0.6366047745;834;Dacia;Duster;III(2024-teraz);
115845;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
110078;0.4895104895;2248;Lexus;RZ;;
110078;0.4682274247;2241;Lexus;RX;V(2022-teraz);
91115;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
91115;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
115573;0.8996655518;855;Dacia;Sandero;III(2021-teraz);Stepway(2021-teraz)
115573;0.7230769231;854;Dacia;Sandero;III(2021-teraz);Hatchback5d(2021-teraz)
59769;0.6837606838;3881;Renault;Clio;I(1990-1998);
59769;0.6153846154;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
69197;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
69197;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
74060;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
74060;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
83127;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
83127;0.6366047745;834;Dacia;Duster;III(2024-teraz);
69920;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
69920;0.6366047745;834;Dacia;Duster;III(2024-teraz);
53134;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
53134;0.6366047745;834;Dacia;Duster;III(2024-teraz);
99674;0.6703296703;4455;Toyota;Corolla;XII(2019-teraz);SedanFacelifting(2022-teraz)
99674;0.653092006;4454;Toyota;Corolla;XII(2019-teraz);TSKombiFacelifting(2022-teraz)
99675;0.6703296703;4455;Toyota;Corolla;XII(2019-teraz);SedanFacelifting(2022-teraz)
99675;0.653092006;4454;Toyota;Corolla;XII(2019-teraz);TSKombiFacelifting(2022-teraz)
46693;0.7948717949;4155;Skoda;Fabia;I(1999-2008);Sedan(2001-2008)
46693;0.7948717949;4156;Skoda;Fabia;I(1999-2008);Kombi(2000-2008)
46916;0.6769230769;4238;Skoda;Rapid;I(1983-1991);
46916;0.641025641;4156;Skoda;Fabia;I(1999-2008);Kombi(2000-2008)
72043;0.7737556561;4582;Toyota;Yaris;III(2011-2020);VAN3d(2017-2020)
72043;0.7737556561;4583;Toyota;Yaris;III(2011-2020);VAN5d(2017-2020)
60426;0.7285067873;4237;Skoda;Rapid;II(2012-2019);Liftback(2012-2017)
60426;0.7142857143;4236;Skoda;Rapid;II(2012-2019);Spaceback(2012-2017)
60852;0.8368298368;4184;Skoda;Octavia;III(2013-2020);RS(2013-2016)
60852;0.7863247863;4182;Skoda;Octavia;III(2013-2020);Scout(2014-2017)
60854;0.7596153846;4150;Skoda;Fabia;III(2014-2021);Kombi(2014-2018)
60854;0.7008547009;4149;Skoda;Fabia;III(2014-2021);Hatchback(2014-2018)
61400;0.7503924647;3342;Opel;Insignia;II(2017-teraz);SportsTourer(2017-2020)
61400;0.7430441899;3341;Opel;Insignia;II(2017-teraz);GrandSport(2017-2020)
70945;0.7285067873;4237;Skoda;Rapid;II(2012-2019);Liftback(2012-2017)
70945;0.7142857143;4236;Skoda;Rapid;II(2012-2019);Spaceback(2012-2017)
70946;0.7692307692;120;Audi;A3;8V(2012-2020);S3(2013-2016)
70946;0.6989966555;209;Audi;A6;C8(2018-teraz);Avant(2018-teraz)
76566;0.7596153846;4150;Skoda;Fabia;III(2014-2021);Kombi(2014-2018)
76566;0.7008547009;4149;Skoda;Fabia;III(2014-2021);Hatchback(2014-2018)
76568;0.7917448405;4861;Volkswagen;Passat;B8(2014-teraz);GTE(2016-2019)
76568;0.735042735;4865;Volkswagen;Passat;B8(2014-teraz);Variant(2014-2019)
99774;0.7185741088;4715;Volkswagen;Caddy;V(2021-teraz);Caddy(2021-teraz)
99774;0.7185741088;4717;Volkswagen;Caddy;V(2021-teraz);Cargo(2021-teraz)
109506;0.8534798535;4912;Volkswagen;Tiguan;II(2016-teraz);SUVR(2021-teraz)
109506;0.7756410256;4913;Volkswagen;Tiguan;II(2016-teraz);SUVPlug-in(2021-teraz)
110061;0.5604395604;607;BMW;X1;F48(2015-2022);Crossover(2015-2019)
110061;0.5587044534;417;BMW;iX;;SUV(2021-teraz)
38891;0.7285067873;4237;Skoda;Rapid;II(2012-2019);Liftback(2012-2017)
38891;0.7142857143;4236;Skoda;Rapid;II(2012-2019);Spaceback(2012-2017)
40258;0.8785425101;4150;Skoda;Fabia;III(2014-2021);Kombi(2014-2018)
40258;0.7692307692;4183;Skoda;Octavia;III(2013-2020);Kombi(2013-2016)
40259;0.8785425101;4150;Skoda;Fabia;III(2014-2021);Kombi(2014-2018)
40259;0.7692307692;4183;Skoda;Octavia;III(2013-2020);Kombi(2013-2016)
40260;0.7596153846;4150;Skoda;Fabia;III(2014-2021);Kombi(2014-2018)
